parent stop id;nr of child stop facilities
gtfs_tw_v5_CYI303100;1
gtfs_tw_v5_CYI303101;1
gtfs_tw_v5_CYI303102;1
gtfs_tw_v5_CYI303104;1
gtfs_tw_v5_CYI303105;1
gtfs_tw_v5_CYI303106;1
gtfs_tw_v5_CYI303107;1
gtfs_tw_v5_CYI303108;1
gtfs_tw_v5_CYI303109;1
gtfs_tw_v5_CYI303110;1
gtfs_tw_v5_CYI303111;1
gtfs_tw_v5_CYI303112;1
gtfs_tw_v5_CYI303237;1
gtfs_tw_v5_CYI303238;1
gtfs_tw_v5_CYI303242;1
gtfs_tw_v5_CYI303244;1
gtfs_tw_v5_CYI303245;1
gtfs_tw_v5_CYI303246;1
gtfs_tw_v5_CYI303247;1
gtfs_tw_v5_CYI303300;1
gtfs_tw_v5_CYI303301;1
gtfs_tw_v5_CYI303630;1
gtfs_tw_v5_CYI303631;1
gtfs_tw_v5_CYI303637;1
gtfs_tw_v5_CYI303638;1
gtfs_tw_v5_CYI303640;1
gtfs_tw_v5_CYI303641;1
gtfs_tw_v5_CYI303642;1
gtfs_tw_v5_CYI303643;1
gtfs_tw_v5_CYI303645;1
gtfs_tw_v5_CYI303646;1
gtfs_tw_v5_CYI303647;1
gtfs_tw_v5_CYI303649;1
gtfs_tw_v5_CYI303652;1
gtfs_tw_v5_CYI303653;1
gtfs_tw_v5_CYI304346;1
gtfs_tw_v5_CYI304347;1
gtfs_tw_v5_CYI304349;1
gtfs_tw_v5_CYI304350;1
gtfs_tw_v5_CYI304351;1
gtfs_tw_v5_CYI304353;1
gtfs_tw_v5_CYI304354;1
gtfs_tw_v5_CYI304355;1
gtfs_tw_v5_CYI304367;1
gtfs_tw_v5_CYI304368;1
gtfs_tw_v5_CYI304410;1
gtfs_tw_v5_CYI304411;1
gtfs_tw_v5_CYI304412;1
gtfs_tw_v5_CYI304413;1
gtfs_tw_v5_CYI304415;1
gtfs_tw_v5_CYI304441;1
gtfs_tw_v5_CYI304872;1
gtfs_tw_v5_CYI304910;1
gtfs_tw_v5_CYI304911;1
gtfs_tw_v5_CYI304913;1
gtfs_tw_v5_CYI304915;1
gtfs_tw_v5_CYI305168;1
gtfs_tw_v5_CYI305169;1
gtfs_tw_v5_CYI305170;1
gtfs_tw_v5_CYI305171;1
gtfs_tw_v5_CYI305172;1
gtfs_tw_v5_CYI305173;1
gtfs_tw_v5_CYI305174;1
gtfs_tw_v5_CYI305175;1
gtfs_tw_v5_CYI305176;1
gtfs_tw_v5_CYI305177;1
gtfs_tw_v5_CYI305178;1
gtfs_tw_v5_CYI305179;1
gtfs_tw_v5_CYI305180;1
gtfs_tw_v5_CYI305181;1
gtfs_tw_v5_CYI305182;1
gtfs_tw_v5_CYI305183;1
gtfs_tw_v5_CYI305184;1
gtfs_tw_v5_CYI305185;1
gtfs_tw_v5_CYI305186;1
gtfs_tw_v5_CYI305187;1
gtfs_tw_v5_CYI305188;1
gtfs_tw_v5_CYI305189;1
gtfs_tw_v5_CYI305190;1
gtfs_tw_v5_CYI305191;1
gtfs_tw_v5_CYI305192;1
gtfs_tw_v5_CYI305193;1
gtfs_tw_v5_CYI306174;1
gtfs_tw_v5_CYI306175;1
gtfs_tw_v5_CYI306176;1
gtfs_tw_v5_CYI306177;1
gtfs_tw_v5_CYI306178;1
gtfs_tw_v5_CYI306180;1
gtfs_tw_v5_CYI306181;1
gtfs_tw_v5_CYI306182;1
gtfs_tw_v5_CYI306183;1
gtfs_tw_v5_CYI306184;1
gtfs_tw_v5_CYI306185;1
gtfs_tw_v5_CYI306186;1
gtfs_tw_v5_CYI306187;1
