person_id,leg_index,mode,start_time_s,end_time_s,trav_time_s,start_x,start_y,end_x,end_y,start_link,end_link,distance,vehicleRefId,route_type,mode_original,pt_transitLineId,pt_transitRouteId,pt_boardingTime_s,pt_accessFacilityId,pt_egressFacilityId,pt_transportMode
25,1,car,30356,31132,776,302208.6841850243,2770966.7424818203,293063.2820411516,2768866.8499156632,31538,8679,10818.690305517239,25,links,car,,,,,,
25,2,walk,31132,38119,6987,293063.2820411516,2768866.8499156632,292459.2054021727,2761426.1458051438,8679,8679,9704.740427020415,,generic,walk,,,,,,
25,3,walk,59100,66087,6987,292459.2054021727,2761426.1458051438,293063.2820411516,2768866.8499156632,8679,8679,9704.740427020415,,generic,walk,,,,,,
25,4,car,66087,66729,642,293063.2820411516,2768866.8499156632,302208.6841850243,2770966.7424818203,8679,31538,11028.044890436486,25,links,car,,,,,,
25,5,walk,66729,66785,56,302208.6841850243,2770966.7424818203,302149.5977611235,2770981.3927179426,31538,31538,79.13823977207238,,generic,walk,,,,,,
26,0,walk,30360,43098,12738,302149.5977611235,2770981.3927179426,292459.2054021727,2761426.1458051438,31538,8679,17691.774826260058,,generic,walk,,,,,,
26,1,walk,59160,71898,12738,292459.2054021727,2761426.1458051438,302149.5977611235,2770981.3927179426,8679,31538,17691.774826260058,,generic,walk,,,,,,
27,0,walk,30420,43158,12738,302149.5977611235,2770981.3927179426,292459.2054021727,2761426.1458051438,31538,8679,17691.774826260058,,generic,walk,,,,,,
27,1,walk,59220,71958,12738,292459.2054021727,2761426.1458051438,302149.5977611235,2770981.3927179426,8679,31538,17691.774826260058,,generic,walk,,,,,,
28,0,walk,30480,30536,56,302149.5977611235,2770981.3927179426,302208.6841850243,2770966.7424818203,31538,31538,79.13823977207238,,generic,walk,,,,,,
28,1,car,30536,31153,617,302208.6841850243,2770966.7424818203,293063.2820411516,2768866.8499156632,31538,8679,11087.010806176617,28,links,car,,,,,,
28,2,walk,31153,38140,6987,293063.2820411516,2768866.8499156632,292459.2054021727,2761426.1458051438,8679,8679,9704.740427020415,,generic,walk,,,,,,
28,3,walk,59280,66267,6987,292459.2054021727,2761426.1458051438,293063.2820411516,2768866.8499156632,8679,8679,9704.740427020415,,generic,walk,,,,,,
28,4,car,66267,66909,642,293063.2820411516,2768866.8499156632,302208.6841850243,2770966.7424818203,8679,31538,11028.044890436486,28,links,car,,,,,,
28,5,walk,66909,66965,56,302208.6841850243,2770966.7424818203,302149.5977611235,2770981.3927179426,31538,31538,79.13823977207238,,generic,walk,,,,,,
29,0,walk,30540,30596,56,302149.5977611235,2770981.3927179426,302208.6841850243,2770966.7424818203,31538,31538,79.13823977207238,,generic,walk,,,,,,
29,1,car,30596,31372,776,302208.6841850243,2770966.7424818203,293063.2820411516,2768866.8499156632,31538,8679,10818.690305517239,29,links,car,,,,,,
29,2,walk,31372,38359,6987,293063.2820411516,2768866.8499156632,292459.2054021727,2761426.1458051438,8679,8679,9704.740427020415,,generic,walk,,,,,,
29,3,walk,59340,66327,6987,292459.2054021727,2761426.1458051438,293063.2820411516,2768866.8499156632,8679,8679,9704.740427020415,,generic,walk,,,,,,
29,4,car,66327,66969,642,293063.2820411516,2768866.8499156632,302208.6841850243,2770966.7424818203,8679,31538,11028.044890436486,29,links,car,,,,,,
29,5,walk,66969,67025,56,302208.6841850243,2770966.7424818203,302149.5977611235,2770981.3927179426,31538,31538,79.13823977207238,,generic,walk,,,,,,
3,0,walk,28980,29036,56,302149.5977611235,2770981.3927179426,302208.6841850243,2770966.7424818203,31538,31538,79.13823977207238,,generic,walk,,,,,,
3,1,car,29036,29786,750,302208.6841850243,2770966.7424818203,293063.2820411516,2768866.8499156632,31538,8679,10962.149837825002,3,links,car,,,,,,
3,2,walk,29786,36773,6987,293063.2820411516,2768866.8499156632,292459.2054021727,2761426.1458051438,8679,8679,9704.740427020415,,generic,walk,,,,,,
3,3,walk,57780,64767,6987,292459.2054021727,2761426.1458051438,293063.2820411516,2768866.8499156632,8679,8679,9704.740427020415,,generic,walk,,,,,,
3,4,car,64767,65409,642,293063.2820411516,2768866.8499156632,302208.6841850243,2770966.7424818203,8679,31538,11028.044890436486,3,links,car,,,,,,
3,5,walk,65409,65465,56,302208.6841850243,2770966.7424818203,302149.5977611235,2770981.3927179426,31538,31538,79.13823977207238,,generic,walk,,,,,,
30,0,walk,30600,30656,56,302149.5977611235,2770981.3927179426,302208.6841850243,2770966.7424818203,31538,31538,79.13823977207238,,generic,walk,,,,,,
30,1,car,30656,31432,776,302208.6841850243,2770966.7424818203,293063.2820411516,2768866.8499156632,31538,8679,10818.690305517239,30,links,car,,,,,,
30,2,walk,31432,38419,6987,293063.2820411516,2768866.8499156632,292459.2054021727,2761426.1458051438,8679,8679,9704.740427020415,,generic,walk,,,,,,
30,3,walk,59400,66387,6987,292459.2054021727,2761426.1458051438,293063.2820411516,2768866.8499156632,8679,8679,9704.740427020415,,generic,walk,,,,,,
30,4,car,66387,67029,642,293063.2820411516,2768866.8499156632,302208.6841850243,2770966.7424818203,8679,31538,11028.044890436486,30,links,car,,,,,,
30,5,walk,67029,67085,56,302208.6841850243,2770966.7424818203,302149.5977611235,2770981.3927179426,31538,31538,79.13823977207238,,generic,walk,,,,,,
31,0,walk,30660,43398,12738,302149.5977611235,2770981.3927179426,292459.2054021727,2761426.1458051438,31538,8679,17691.774826260058,,generic,walk,,,,,,
