stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
BL16_DN,BL16,忠孝敦化-下行月臺(板南線),板南線,25.041505,121.55045,,,0,091,Asia/Taipei,1,二
BL16_Exit 1,BL16,1,板南線,25.041642,121.550578,,,2,091,Asia/Taipei,0,
BL16_Exit 2,BL16,2,板南線,25.041632,121.551694,,,2,091,Asia/Taipei,1,
BL16_Exit 3,BL16,3,板南線,25.04134,121.551586,,,2,091,Asia/Taipei,0,
BL16_Exit 4,BL16,4,板南線,25.04135,121.550567,,,2,091,Asia/Taipei,0,
BL16_Exit 5,BL16,5,板南線,25.041238,121.549824,,,2,091,Asia/Taipei,0,
BL16_Exit 6,BL16,6,板南線,25.041029,121.549174,,,2,091,Asia/Taipei,0,
BL16_Exit 7,BL16,7,板南線,25.041661,121.549913,,,2,091,Asia/Taipei,0,
BL16_Exit 8,BL16,8,板南線,25.041928,121.549194,,,2,091,Asia/Taipei,0,
092,BL17,國父紀念館,板南線,25.04137,121.557815,,,1,,Asia/Taipei,1,
BL17_UP,BL17,國父紀念館-上行月臺(板南線),板南線,25.04137,121.557815,,,0,092,Asia/Taipei,1,一
BL17_DN,BL17,國父紀念館-下行月臺(板南線),板南線,25.04137,121.557815,,,0,092,Asia/Taipei,1,二
BL17_Exit 1,BL17,1,板南線,25.041838,121.556663,,,2,092,Asia/Taipei,0,
BL17_Exit 2,BL17,2,板南線,25.041029,121.556704,,,2,092,Asia/Taipei,0,
BL17_Exit 3,BL17,3,板南線,25.041195,121.557981,,,2,092,Asia/Taipei,0,
BL17_Exit 4,BL17,4,板南線,25.04117,121.558539,,,2,092,Asia/Taipei,1,
BL17_Exit 5,BL17,5,板南線,25.041501,121.558002,,,2,092,Asia/Taipei,0,
093,BL18,市政府,板南線,25.041135,121.565685,,,1,,Asia/Taipei,1,
BL18_UP,BL18,市政府-上行月臺(板南線),板南線,25.041135,121.565685,,,0,093,Asia/Taipei,1,一
BL18_DN,BL18,市政府-下行月臺(板南線),板南線,25.041135,121.565685,,,0,093,Asia/Taipei,1,二
BL18_Exit 1,BL18,1,板南線,25.041408,121.565459,,,2,093,Asia/Taipei,0,
BL18_Exit 2,BL18,2,板南線,25.040971,121.565062,,,2,093,Asia/Taipei,1,
BL18_Exit 3,BL18,3,板南線,25.040903,121.567149,,,2,093,Asia/Taipei,0,
BL18_Exit 4,BL18,4,板南線,25.041263,121.567181,,,2,093,Asia/Taipei,0,
094,BL19,永春,板南線,25.040855,121.5762,,,1,,Asia/Taipei,1,
BL19_UP,BL19,永春-上行月臺(板南線),板南線,25.040855,121.5762,,,0,094,Asia/Taipei,1,一
BL19_DN,BL19,永春-下行月臺(板南線),板南線,25.040855,121.5762,,,0,094,Asia/Taipei,1,二
BL19_Exit 1,BL19,1,板南線,25.040995,121.57512,,,2,094,Asia/Taipei,0,
BL19_Exit 2,BL19,2,板南線,25.040704,121.575383,,,2,094,Asia/Taipei,0,
BL19_Exit 3,BL19,3,板南線,25.040704,121.576155,,,2,094,Asia/Taipei,0,
BL19_Exit 4,BL19,4,板南線,25.040699,121.576574,,,2,094,Asia/Taipei,0,
BL19_Exit 5,BL19,5,板南線,25.040961,121.576622,,,2,094,Asia/Taipei,1,
095,BL20,後山埤,板南線,25.044715,121.58227,,,1,,Asia/Taipei,1,
BL20_UP,BL20,後山埤-上行月臺(板南線),板南線,25.044715,121.58227,,,0,095,Asia/Taipei,1,一
BL20_DN,BL20,後山埤-下行月臺(板南線),板南線,25.044715,121.58227,,,0,095,Asia/Taipei,1,二
BL20_Exit 1,BL20,1,板南線,25.044422,121.58141,,,2,095,Asia/Taipei,0,
BL20_Exit 2,BL20,2,板南線,25.043703,121.581854,,,2,095,Asia/Taipei,0,
BL20_Exit 3,BL20,3,板南線,25.045232,121.583277,,,2,095,Asia/Taipei,1,
BL20_Exit 4,BL20,4,板南線,25.045653,121.582441,,,2,095,Asia/Taipei,0,
096,BL21,昆陽,板南線,25.0504585,121.5932285,,,1,,Asia/Taipei,1,
BL21_UP,BL21,昆陽-上行月臺(板南線),板南線,25.0504585,121.5932285,,,0,096,Asia/Taipei,1,一
BL21_DN,BL21,昆陽-下行月臺(板南線),板南線,25.0504585,121.5932285,,,0,096,Asia/Taipei,1,二
