route_id,agency_id,route_short_name,route_long_name,route_type,route_desc,route_color,route_text_color
TXG465_0,TXG_5,65延,65延,3,,,
TXG465_1,TXG_5,65延,65延,3,,,
TXG467_0,TXG_5,65繞,65繞,3,,,
TXG467_1,TXG_5,65繞,65繞,3,,,
TXG468_0,TXG_5,65副,65副,3,,,
TXG468_1,TXG_5,65副,65副,3,,,
TXG5_0,TXG_5,5,5,3,,,
TXG5_1,TXG_5,5,5,3,,,
TXG50_0,TXG_U-15-3,50,50,3,,,
TXG50_1,TXG_U-15-3,50,50,3,,,
TXG5000_0,TXG_1,500,500,3,,,
TXG5000_1,TXG_1,500,500,3,,,
TXG5001_0,TXG_1,500跳蛙公車,500跳蛙公車,3,,,
TXG5001_1,TXG_1,500跳蛙公車,500跳蛙公車,3,,,
TXG5002_0,TXG_1,500延,500延,3,,,
TXG5002_1,TXG_1,500延,500延,3,,,
TXG5003_0,TXG_1,500延區1,500延區1,3,,,
TXG5004_0,TXG_1,500延區2,500延區2,3,,,
TXG5005_0,TXG_1,500延區3,500延區3,3,,,
TXG5010_0,TXG_201,梨山1路,梨山1路,3,,,
TXG5010_1,TXG_201,梨山1路,梨山1路,3,,,
TXG51_0,TXG_6,51,51,3,,,
TXG51_1,TXG_6,51,51,3,,,
TXG52_0,TXG_19,52,52,3,,,
TXG52_1,TXG_19,52,52,3,,,
TXG5201_0,TXG_19,52副,52副,3,,,
TXG5201_1,TXG_19,52副,52副,3,,,
TXG525_0,TXG_19,525,525,3,,,
TXG525_1,TXG_19,525,525,3,,,
TXG528_0,TXG_4,528,528,3,,,
TXG528_1,TXG_4,528,528,3,,,
TXG529_0,TXG_19,529,529,3,,,
TXG529_1,TXG_19,529,529,3,,,
TXG54_0,TXG_1,54,54,3,,,
TXG54_1,TXG_1,54,54,3,,,
TXG56_0,TXG_U-15-3,56,56,3,,,
TXG56_1,TXG_U-15-3,56,56,3,,,
TXG58_0,TXG_5,58,58,3,,,
TXG58_1,TXG_5,58,58,3,,,
TXG581_0,TXG_5,58區1,58區1,3,,,
TXG581_1,TXG_5,58區1,58區1,3,,,
TXG583_0,TXG_5,58副,58副,3,,,
TXG583_1,TXG_5,58副,58副,3,,,
TXG59_0,TXG_U-15-3,59,59,3,,,
TXG59_1,TXG_U-15-3,59,59,3,,,
TXG5901_0,TXG_U-15-3,59延,59延,3,,,
TXG5901_1,TXG_U-15-3,59延,59延,3,,,
TXG592_0,TXG_6,91繞1,91繞1,3,,,
TXG592_1,TXG_6,91繞1,91繞1,3,,,
TXG593_0,TXG_6,91繞2,91繞2,3,,,
TXG593_1,TXG_6,91繞2,91繞2,3,,,
TXG6_0,TXG_1,6,6,3,,,
TXG6_1,TXG_1,6,6,3,,,
TXG60_0,TXG_1,60,60,3,,,
TXG60_1,TXG_1,60,60,3,,,
TXG601_0,TXG_1,6副,6副,3,,,
TXG601_1,TXG_1,6副,6副,3,,,
TXG61_0,TXG_U-15-3,61,61,3,,,
TXG61_1,TXG_U-15-3,61,61,3,,,
TXG616_0,TXG_11,616,616,3,,,
TXG616_1,TXG_11,616,616,3,,,
TXG63_0,TXG_U-15-3-6,63,63,3,,,
TXG63_1,TXG_U-15-3-6,63,63,3,,,
TXG65_0,TXG_5,65,65,3,,,
TXG65_1,TXG_5,65,65,3,,,
TXG651_0,TXG_U-15-3,651,651,3,,,
TXG651_1,TXG_U-15-3,651,651,3,,,
TXG653_0,TXG_6,153副,153副,3,,,
TXG653_1,TXG_6,153副,153副,3,,,
TXG657_0,TXG_1,657,657,3,,,
TXG657_1,TXG_1,657,657,3,,,
TXG658_0,TXG_U-15-3,658,658,3,,,
TXG658_1,TXG_U-15-3,658,658,3,,,
TXG6581_0,TXG_U-15-3,658副,658副,3,,,
TXG6581_1,TXG_U-15-3,658副,658副,3,,,
TXG659_0,TXG_1,659,659,3,,,
TXG659_1,TXG_1,659,659,3,,,
TXG6601_0,TXG_1,66左環,66左環,3,,,
TXG6601_1,TXG_1,66左環,66左環,3,,,
TXG6602_0,TXG_1,66右環,66右環,3,,,
TXG6602_1,TXG_1,66右環,66右環,3,,,
TXG6603_0,TXG_1,66副左環,66副左環,3,,,
TXG6603_1,TXG_1,66副左環,66副左環,3,,,
TXG6604_0,TXG_1,66副右環,66副右環,3,,,
TXG6604_1,TXG_1,66副右環,66副右環,3,,,
TXG661_0,TXG_24,661,661,3,,,
TXG661_1,TXG_24,661,661,3,,,
TXG662_0,TXG_24,662,662,3,,,
TXG662_1,TXG_24,662,662,3,,,
TXG668_0,TXG_11,668,668,3,,,
TXG668_1,TXG_11,668,668,3,,,
TXG67_0,TXG_19,67,67,3,,,
TXG67_1,TXG_19,67,67,3,,,
TXG671_0,TXG_19,67繞,67繞,3,,,
TXG671_1,TXG_19,67繞,67繞,3,,,
TXG672_0,TXG_6,272繞,272繞,3,,,
TXG675_0,TXG_4,677區,677區,3,,,
TXG6750_0,TXG_U-1-15-3,675,675,3,,,
TXG6750_1,TXG_U-1-15-3,675,675,3,,,
TXG677_0,TXG_4,677,677,3,,,
TXG677_1,TXG_4,677,677,3,,,
TXG678_0,TXG_25,678,678,3,,,
TXG678_1,TXG_25,678,678,3,,,
TXG679_0,TXG_25,679,679,3,,,
TXG679_1,TXG_25,679,679,3,,,
TXG6791_0,TXG_25,679副,679副,3,,,
TXG6791_1,TXG_25,679副,679副,3,,,
TXG6792_0,TXG_25,679副2,679副2,3,,,
TXG6792_1,TXG_25,679副2,679副2,3,,,
TXG681_0,TXG_19,68,68,3,,,
TXG681_1,TXG_19,68,68,3,,,
TXG688_0,TXG_4,688,688,3,,,
TXG688_1,TXG_4,688,688,3,,,
TXG6881_0,TXG_4,688副,688副,3,,,
TXG6881_1,TXG_4,688副,688副,3,,,
TXG69_0,TXG_1,69,69,3,,,
TXG69_1,TXG_1,69,69,3,,,
TXG695_0,TXG_15,695,695,3,,,
TXG695_1,TXG_15,695,695,3,,,
TXG699_0,TXG_4,699,699,3,,,
TXG699_1,TXG_4,699,699,3,,,
TXG7_0,TXG_11,7,7,3,,,
TXG7_1,TXG_11,7,7,3,,,
TXG70_0,TXG_1,70,70,3,,,
TXG70_1,TXG_1,70,70,3,,,
TXG7000_0,TXG_U-15-3,700,700,3,,,
TXG7000_1,TXG_U-15-3,700,700,3,,,
TXG7001_0,TXG_U-1-5,700跳蛙公車,700跳蛙公車,3,,,
TXG7001_1,TXG_U-1-5,700跳蛙公車,700跳蛙公車,3,,,
TXG72_0,TXG_1,72,72,3,,,
TXG72_1,TXG_1,72,72,3,,,
TXG73_0,TXG_U-15-3,73,73,3,,,
TXG73_1,TXG_U-15-3,73,73,3,,,
TXG74_0,TXG_19,74,74,3,,,
TXG74_1,TXG_19,74,74,3,,,
TXG75_0,TXG_U-15-3,75,75,3,,,
TXG75_1,TXG_U-15-3,75,75,3,,,
TXG7501_0,TXG_3,75副,75副,3,,,
