route_id,service_id,trip_id,shape_id,direction_id,bikes_allowed,trip_headsign,trip_short_name,block_id,wheelchair_accessible
Orange,360,360_2079_DN,,,,南勢角站,,,1
Orange,360,360_2113_DN,,,,南勢角站,,,1
Orange,360,360_2171_DN,,,,南勢角站,,,1
Orange,360,360_2221_DN,,,,南勢角站,,,1
Orange,360,360_2236_UP,,,,蘆洲站,,,1
Orange,360,360_1021_DN,,,,南勢角站,,,1
Orange,360,360_1033_DN,,,,南勢角站,,,1
Orange,360,360_1037_DN,,,,南勢角站,,,1
Orange,360,360_1086_UP,,,,迴龍站,,,1
Orange,360,360_1096_UP,,,,迴龍站,,,1
Orange,360,360_1098_UP,,,,迴龍站,,,1
Orange,360,360_1114_UP,,,,迴龍站,,,1
Orange,360,360_1116_UP,,,,迴龍站,,,1
Orange,360,360_1121_DN,,,,南勢角站,,,1
Orange,360,360_1122_UP,,,,迴龍站,,,1
Orange,360,360_1166_UP,,,,迴龍站,,,1
Orange,360,360_1173_DN,,,,南勢角站,,,1
Orange,360,360_1180_UP,,,,迴龍站,,,1
Orange,360,360_1210_UP,,,,迴龍站,,,1
Orange,360,360_1220_UP,,,,迴龍站,,,1
Orange,360,360_2021_DN,,,,南勢角站,,,1
Orange,360,360_2034_UP,,,,蘆洲站,,,1
Orange,360,360_2072_UP,,,,蘆洲站,,,1
Orange,360,360_2081_DN,,,,南勢角站,,,1
Orange,360,360_2087_DN,,,,南勢角站,,,1
Orange,360,360_2090_UP,,,,蘆洲站,,,1
Orange,360,360_2119_DN,,,,南勢角站,,,1
Orange,360,360_2156_UP,,,,蘆洲站,,,1
Orange,360,360_2177_DN,,,,南勢角站,,,1
Orange,360,360_2188_UP,,,,蘆洲站,,,1
Orange,360,360_2191_DN,,,,南勢角站,,,1
Orange,360,360_2206_UP,,,,蘆洲站,,,1
Orange,360,360_1011_DN,,,,南勢角站,,,1
Orange,360,360_1036_UP,,,,迴龍站,,,1
Orange,360,360_1064_UP,,,,迴龍站,,,1
Orange,360,360_1097_DN,,,,南勢角站,,,1
Orange,360,360_1103_DN,,,,南勢角站,,,1
Orange,360,360_1131_DN,,,,南勢角站,,,1
Orange,360,360_1138_UP,,,,迴龍站,,,1
Orange,360,360_1142_UP,,,,迴龍站,,,1
Orange,360,360_1154_UP,,,,迴龍站,,,1
Orange,360,360_1168_UP,,,,迴龍站,,,1
Orange,360,360_1177_DN,,,,南勢角站,,,1
Orange,360,360_1191_DN,,,,南勢角站,,,1
Orange,360,360_1199_DN,,,,南勢角站,,,1
Orange,360,360_1201_DN,,,,南勢角站,,,1
Orange,360,360_1205_DN,,,,南勢角站,,,1
Orange,360,360_1209_DN,,,,南勢角站,,,1
Orange,360,360_1225_DN,,,,南勢角站,,,1
Orange,360,360_1241_DN,,,,南勢角站,,,1
Orange,360,360_1249_DN,,,,南勢角站,,,1
Orange,360,360_2006_UP,,,,蘆洲站,,,1
Orange,360,360_2022_UP,,,,蘆洲站,,,1
Orange,360,360_2029_DN,,,,南勢角站,,,1
Orange,360,360_2036_UP,,,,蘆洲站,,,1
Orange,360,360_2046_UP,,,,蘆洲站,,,1
Orange,360,360_2052_UP,,,,蘆洲站,,,1
Orange,360,360_2070_UP,,,,蘆洲站,,,1
Orange,360,360_2091_DN,,,,南勢角站,,,1
Orange,360,360_2108_UP,,,,蘆洲站,,,1
Orange,360,360_2126_UP,,,,蘆洲站,,,1
Orange,360,360_2152_UP,,,,蘆洲站,,,1
Orange,360,360_2163_DN,,,,南勢角站,,,1
Orange,360,360_2178_UP,,,,蘆洲站,,,1
Orange,360,360_2226_UP,,,,蘆洲站,,,1
Orange,360,360_2229_DN,,,,南勢角站,,,1
Orange,360,360_1010_UP,,,,迴龍站,,,1
Orange,360,360_1030_UP,,,,迴龍站,,,1
Orange,360,360_1048_UP,,,,迴龍站,,,1
Orange,360,360_1069_DN,,,,南勢角站,,,1
Orange,360,360_1071_DN,,,,南勢角站,,,1
