time_s,time,person_id,mode,mode_original,x,y,leg_index,status,vehicleRefId,pt_transitLineId,pt_transitRouteId,pt_transportMode
23799,6:36:39,metro_up_01,subway,pt,299957.51164168626,2769671.189684506,1,in_leg,,Blue,403_1460_UP,subway
23799,6:36:39,metro_up_01,subway,pt,301874.6793054279,2770835.114887947,1,in_leg,,Blue,403_1460_UP,subway
23799,6:36:39,metro_up_01,subway,pt,302599.08024145034,2770900.427222605,1,in_leg,,Blue,403_1460_UP,subway
23799,6:36:39,metro_up_01,subway,pt,303387.2317379007,2770696.074545374,1,in_leg,,Blue,403_1460_UP,subway
23800,6:36:40,metro_up_01,subway,pt,301059.61113643635,2770320.939082315,1,in_leg,,Blue,403_1460_UP,subway
23804,6:36:44,metro_up_01,subway,pt,299970.46958442393,2769673.8079637922,1,in_leg,,Blue,403_1460_UP,subway
23804,6:36:44,metro_up_01,subway,pt,301878.08801504836,2770836.8663971564,1,in_leg,,Blue,403_1460_UP,subway
23804,6:36:44,metro_up_01,subway,pt,302601.310797983,2770899.819590789,1,in_leg,,Blue,403_1460_UP,subway
23804,6:36:44,metro_up_01,subway,pt,303390.2314283326,2770695.3165332433,1,in_leg,,Blue,403_1460_UP,subway
23805,6:36:45,metro_up_01,subway,pt,301062.872986965,2770324.0385105843,1,in_leg,,Blue,403_1460_UP,subway
23809,6:36:49,metro_up_01,subway,pt,299983.4275271616,2769676.426243078,1,in_leg,,Blue,403_1460_UP,subway
23809,6:36:49,metro_up_01,subway,pt,301881.4967246688,2770838.6179063655,1,in_leg,,Blue,403_1460_UP,subway
23809,6:36:49,metro_up_01,subway,pt,302603.5413545157,2770899.2119589723,1,in_leg,,Blue,403_1460_UP,subway
23809,6:36:49,metro_up_01,subway,pt,303393.2311187646,2770694.5585211124,1,in_leg,,Blue,403_1460_UP,subway
23810,6:36:50,metro_up_01,subway,pt,301066.1348374936,2770327.1379388534,1,in_leg,,Blue,403_1460_UP,subway
23814,6:36:54,metro_up_01,subway,pt,299996.3854698993,2769679.0445223637,1,in_leg,,Blue,403_1460_UP,subway
23814,6:36:54,metro_up_01,subway,pt,301884.9054342892,2770840.3694155747,1,in_leg,,Blue,403_1460_UP,subway
23814,6:36:54,metro_up_01,subway,pt,302605.7719110484,2770898.604327156,1,in_leg,,Blue,403_1460_UP,subway
23814,6:36:54,metro_up_01,subway,pt,303396.23080919654,2770693.8005089816,1,in_leg,,Blue,403_1460_UP,subway
23815,6:36:55,metro_up_01,subway,pt,301069.3966880222,2770330.2373671224,1,in_leg,,Blue,403_1460_UP,subway
23819,6:36:59,metro_up_01,subway,pt,300009.34341263695,2769681.66280165,1,in_leg,,Blue,403_1460_UP,subway
23819,6:36:59,metro_up_01,subway,pt,301888.3141439096,2770842.120924784,1,in_leg,,Blue,403_1460_UP,subway
23819,6:36:59,metro_up_01,subway,pt,302608.0024675811,2770897.99669534,1,in_leg,,Blue,403_1460_UP,subway
23819,6:36:59,metro_up_01,subway,pt,303399.2304996285,2770693.0424968502,1,in_leg,,Blue,403_1460_UP,subway
23820,6:37:00,metro_up_01,subway,pt,301072.6585385508,2770333.3367953915,1,in_leg,,Blue,403_1460_UP,subway
23824,6:37:04,metro_up_01,subway,pt,300022.3013553746,2769684.2810809356,1,in_leg,,Blue,403_1460_UP,subway
23824,6:37:04,metro_up_01,subway,pt,301891.7228535301,2770843.872433993,1,in_leg,,Blue,403_1460_UP,subway
23824,6:37:04,metro_up_01,subway,pt,302610.23302411375,2770897.3890635236,1,in_leg,,Blue,403_1460_UP,subway
23824,6:37:04,metro_up_01,subway,pt,303402.2301900605,2770692.2844847194,1,in_leg,,Blue,403_1460_UP,subway
23825,6:37:05,metro_up_01,subway,pt,301075.9203890794,2770336.4362236606,1,in_leg,,Blue,403_1460_UP,subway
23828,6:37:08,metro_up_01,subway,pt,300035.2592981123,2769686.8993602213,1,in_leg,,Blue,403_1460_UP,subway
23829,6:37:09,metro_up_01,subway,pt,301895.1315631505,2770845.623943202,1,in_leg,,Blue,403_1460_UP,subway
23829,6:37:09,metro_up_01,subway,pt,302612.46358064644,2770896.7814317076,1,in_leg,,Blue,403_1460_UP,subway
23829,6:37:09,metro_up_01,subway,pt,303405.22988049244,2770691.5264725885,1,in_leg,,Blue,403_1460_UP,subway
23830,6:37:10,metro_up_01,subway,pt,301079.18223960797,2770339.5356519297,1,in_leg,,Blue,403_1460_UP,subway
23833,6:37:13,metro_up_01,subway,pt,300048.21724085,2769689.5176395075,1,in_leg,,Blue,403_1460_UP,subway
23834,6:37:14,metro_up_01,subway,pt,301082.4440901366,2770342.6350801988,1,in_leg,,Blue,403_1460_UP,subway
23834,6:37:14,metro_up_01,subway,pt,301898.5402727709,2770847.3754524114,1,in_leg,,Blue,403_1460_UP,subway
23834,6:37:14,metro_up_01,subway,pt,302614.6941371791,2770896.1737998915,1,in_leg,,Blue,403_1460_UP,subway
23834,6:37:14,metro_up_01,subway,pt,303408.2295709244,2770690.7684604577,1,in_leg,,Blue,403_1460_UP,subway
23838,6:37:18,metro_up_01,subway,pt,300061.17518358765,2769692.1359187933,1,in_leg,,Blue,403_1460_UP,subway
23839,6:37:19,metro_up_01,subway,pt,301085.7059406652,2770345.734508468,1,in_leg,,Blue,403_1460_UP,subway
23839,6:37:19,metro_up_01,subway,pt,301901.94898239133,2770849.1269616205,1,in_leg,,Blue,403_1460_UP,subway
