stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,stop_x_EPSG3826,stop_y_EPSG3826
BL19_Exit 1,BL19,1,板南線,25.040995,121.57512,,,2,094,Asia/Taipei,0,,308033.963,2770441.544
BL19_Exit 2,BL19,2,板南線,25.040704,121.575383,,,2,094,Asia/Taipei,0,,308060.639,2770409.424
BL19_Exit 3,BL19,3,板南線,25.040704,121.576155,,,2,094,Asia/Taipei,0,,308138.542,2770409.755
BL19_Exit 4,BL19,4,板南線,25.040699,121.576574,,,2,094,Asia/Taipei,0,,308180.825,2770409.382
BL19_Exit 5,BL19,5,板南線,25.040961,121.576622,,,2,094,Asia/Taipei,1,,308185.545,2770438.423
095,BL20,後山埤,板南線,25.044715,121.58227,,,1,,Asia/Taipei,1,,308753.695,2770856.679
BL20_UP,BL20,後山埤-上行月臺(板南線),板南線,25.044715,121.58227,,,0,095,Asia/Taipei,1,一,308753.695,2770856.679
BL20_DN,BL20,後山埤-下行月臺(板南線),板南線,25.044715,121.58227,,,0,095,Asia/Taipei,1,二,308753.695,2770856.679
BL20_Exit 1,BL20,1,板南線,25.044422,121.58141,,,2,095,Asia/Taipei,0,,308667.055,2770823.851
BL20_Exit 2,BL20,2,板南線,25.043703,121.581854,,,2,095,Asia/Taipei,0,,308712.2,2770744.403
BL20_Exit 3,BL20,3,板南線,25.045232,121.583277,,,2,095,Asia/Taipei,1,,308855.062,2770914.382
BL20_Exit 4,BL20,4,板南線,25.045653,121.582441,,,2,095,Asia/Taipei,0,,308770.503,2770960.652
096,BL21,昆陽,板南線,25.0504585,121.5932285,,,1,,Asia/Taipei,1,,309856.694,2771497.667
BL21_UP,BL21,昆陽-上行月臺(板南線),板南線,25.0504585,121.5932285,,,0,096,Asia/Taipei,1,一,309856.694,2771497.667
BL21_DN,BL21,昆陽-下行月臺(板南線),板南線,25.0504585,121.5932285,,,0,096,Asia/Taipei,1,二,309856.694,2771497.667
BL21_Exit 1,BL21,1,板南線,25.050319,121.592726,,,2,096,Asia/Taipei,0,,309806.059,2771481.993
BL21_Exit 2,BL21,2,板南線,25.050402,121.592825,,,2,096,Asia/Taipei,0,,309816.008,2771491.231
BL21_Exit 3,BL21,3,板南線,25.050599,121.59363,,,2,096,Asia/Taipei,0,,309897.138,2771513.408
BL21_Exit 4,BL21,4,板南線,25.050572,121.593799,,,2,096,Asia/Taipei,0,,309914.204,2771510.492
097,BL22,南港,板南線,25.052035,121.60697,,,1,,Asia/Taipei,1,,311242.46,2771678.44
BL22_UP,BL22,南港-上行月臺(板南線),板南線,25.052035,121.60697,,,0,097,Asia/Taipei,1,一,311242.46,2771678.44
BL22_DN,BL22,南港-下行月臺(板南線),板南線,25.052035,121.60697,,,0,097,Asia/Taipei,1,二,311242.46,2771678.44
BL22_Exit 1,BL22,1,板南線,25.051911,121.606357,,,2,097,Asia/Taipei,0,,311180.669,2771664.428
BL22_Exit 2,BL22,2,板南線,25.052025,121.60743,,,2,097,Asia/Taipei,1,,311288.88,2771677.541
031,BR24BL23,南港展覽館,文湖線/板南線,25.054919,121.616861,,,1,,Asia/Taipei,1,,312239.017,2772002.405
BL23_UP,BL23,南港展覽館-上行月臺(板南線),板南線,25.054919,121.616861,,,0,031,Asia/Taipei,1,一,312239.017,2772002.405
BL23_DN,BL23,南港展覽館-下行月臺(板南線),板南線,25.054919,121.616861,,,0,031,Asia/Taipei,1,二,312239.017,2772002.405
BR24_UP,BR24,南港展覽館-上行月臺(文湖線),文湖線,25.054919,121.616861,,,0,031,Asia/Taipei,1,一,312239.017,2772002.405
BR24_DN,BR24,南港展覽館-下行月臺(文湖線),文湖線,25.054919,121.616861,,,0,031,Asia/Taipei,1,二,312239.017,2772002.405
BR24BL23_Exit 1,BR24BL23,1,文湖線/板南線,25.055847,121.616936,,,2,031,Asia/Taipei,1,,312246.116,2772105.231
BR24BL23_Exit 2,BR24BL23,2,文湖線/板南線,25.055308,121.616984,,,2,031,Asia/Taipei,1,,312251.231,2772045.55
BR24BL23_Exit 2A,BR24BL23,2A,文湖線/板南線,25.05524,121.617043,,,2,031,Asia/Taipei,1,,312257.218,2772038.045
