vehicle_id,mode,first_use_time_s,last_use_time_s,first_use_time,last_use_time,agent_count
veh_767_subway,subway,24759,24759,6:52:39,6:52:39,2
veh_769_subway,subway,67148,67148,18:39:08,18:39:08,1
veh_770_subway,subway,65436,65436,18:10:36,18:10:36,1
veh_772_subway,subway,32283,32283,8:58:03,8:58:03,1
veh_773_subway,subway,62701,62701,17:25:01,17:25:01,1
veh_776_subway,subway,28180,28180,7:49:40,7:49:40,1
veh_780_subway,subway,54755,54755,15:12:35,15:12:35,1
veh_781_subway,subway,29612,29612,8:13:32,8:13:32,1
veh_782_subway,subway,59115,59115,16:25:15,16:25:15,1
veh_784_subway,subway,24484,24617,6:48:04,6:50:17,2
veh_789_subway,subway,25301,25422,7:01:41,7:03:42,2
veh_795_subway,subway,27987,27987,7:46:27,7:46:27,1
veh_806_subway,subway,25226,25226,7:00:26,7:00:26,2
veh_807_subway,subway,30539,30539,8:28:59,8:28:59,1
veh_833_subway,subway,31554,31554,8:45:54,8:45:54,1
veh_838_subway,subway,32754,32754,9:05:54,9:05:54,1
veh_864_subway,subway,45834,45834,12:43:54,12:43:54,1
veh_988_subway,subway,32356,32356,8:59:16,8:59:16,1
walk_agent_92_motorcycle,unknown,26942,54739,7:29:02,15:12:19,1
walk_agent_98_motorcycle,unknown,25185,30445,6:59:45,8:27:25,1
walk_agent_99,unknown,25703,31199,7:08:23,8:39:59,1
