stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,stop_x_EPSG3826,stop_y_EPSG3826
O06_DN,O06,東門-下行月臺(中和新蘆線),中和新蘆線,25.033894,121.528766,,,0,134,Asia/Taipei,1,三,303359.476,2769635.926
R07_DN,R07,東門-下行月臺(淡水信義線),淡水信義線,25.033894,121.528766,,,0,134,Asia/Taipei,1,四,303359.476,2769635.926
131,O09,行天宮,中和新蘆線,25.05924,121.53315,,,1,,Asia/Taipei,1,,303790.827,2772445.126
O09_UP,O09,行天宮-上行月臺(中和新蘆線),中和新蘆線,25.05924,121.53315,,,0,131,Asia/Taipei,1,一,303790.827,2772445.126
O09_DN,O09,行天宮-下行月臺(中和新蘆線),中和新蘆線,25.05924,121.53315,,,0,131,Asia/Taipei,1,二,303790.827,2772445.126
130,O10,中山國小,中和新蘆線,25.062665,121.526609,,,1,,Asia/Taipei,1,,303129.401,2772821.913
O10_UP,O10,中山國小-上行月臺(中和新蘆線),中和新蘆線,25.062665,121.526609,,,0,130,Asia/Taipei,1,一,303129.401,2772821.913
O10_DN,O10,中山國小-下行月臺(中和新蘆線),中和新蘆線,25.062665,121.526609,,,0,130,Asia/Taipei,1,二,303129.401,2772821.913
055,R13O11,民權西路,淡水信義線/中和新蘆線,25.06235,121.519585,,,1,,Asia/Taipei,1,,302420.873,2772784.281
O11_UP,O11,民權西路-上行月臺(中和新蘆線),中和新蘆線,25.06235,121.519585,,,0,055,Asia/Taipei,1,三,302420.873,2772784.281
O11_DN,O11,民權西路-下行月臺(中和新蘆線),中和新蘆線,25.06235,121.519585,,,0,055,Asia/Taipei,1,四,302420.873,2772784.281
R13_DN,R13,民權西路-下行月臺(淡水信義線),淡水信義線,25.06235,121.519585,,,0,055,Asia/Taipei,1,二,302420.873,2772784.281
128,O12,大橋頭,中和新蘆線,25.06322,121.5130035,,,1,,Asia/Taipei,1,,301756.489,2772878.113
O12_UP,O12,大橋頭-上行月臺(中和新蘆線),中和新蘆線,25.06322,121.5130035,,,0,128,Asia/Taipei,1,一,301756.489,2772878.113
O12_DN,O12,大橋頭-下行月臺(中和新蘆線),中和新蘆線,25.06322,121.5130035,,,0,128,Asia/Taipei,1,二,301756.489,2772878.113
127,O13,台北橋,中和新蘆線,25.063075,121.500575,,,1,,Asia/Taipei,1,,300502.627,2772857.353
O13_UP,O13,台北橋-上行月臺(中和新蘆線),中和新蘆線,25.063075,121.500575,,,0,127,Asia/Taipei,1,一,300502.627,2772857.353
O13_DN,O13,台北橋-下行月臺(中和新蘆線),中和新蘆線,25.063075,121.500575,,,0,127,Asia/Taipei,1,二,300502.627,2772857.353
126,O14,菜寮,中和新蘆線,25.059451,121.491421,,,1,,Asia/Taipei,1,,299580.531,2772452.553
