stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
THB269340,捷運臺北橋站,25.063,121.50041,THB269340,0,
THB269344,玉田路,25.18863,121.68073,THB269344,0,
THB269392,南港展覽館,25.05534,121.615649,THB269392,0,
THB269402,玉田路,25.18846,121.6803,THB269402,0,
THB269411,汐止國小,25.066326,121.654979,THB269411,0,
THB269412,汐止農會,25.063678,121.657348,THB269412,0,
THB269425,秀峰高中(新台五路),25.06521,121.66079,THB269425,0,
THB269426,捷運中山站(志仁高中),25.053226,121.51874,THB269426,0,
THB269476,新北市立仁愛之家,25.197586,121.682725,THB269476,0,
THB269498,明德三路口,25.07728,121.68894,THB269498,0,
THB269519,民權大龍街口,25.06296,121.51664,THB269519,0,
THB269521,民權路口,25.01085,121.46366,THB269521,0,
THB269529,江山萬里,25.06763,121.66805,THB269529,0,
THB269539,宏國富邑,25.065544,121.674423,THB269539,0,
THB269623,正義郵局,25.04186,121.53931,THB269623,0,
THB269628,民權松江路口,25.06247,121.53272,THB269628,0,
THB269630,民權建國路口,25.06236,121.5377,THB269630,0,
THB269631,民權復興路口,25.062238,121.543944,THB269631,0,
THB269634,石山,25.151933,121.697693,THB269634,0,
THB269641,百三街口,25.081855,121.695575,THB269641,0,
THB269645,行天宮,25.063327,121.533381,THB269645,0,
THB269677,士林區行政中心(基河),25.09293,121.52042,THB269677,0,
THB269701,內寮,25.157657,121.694744,THB269701,0,
THB269735,石山,25.151931,121.697944,THB269735,0,
THB269743,汐止行政中心,25.06476,121.65914,THB269743,0,
THB269744,百三街口,25.081933,121.6956947,THB269744,0,
THB269745,百福國中,25.082936,121.69915,THB269745,0,
THB269751,行天宮,25.064197,121.533124,THB269751,0,
THB269786,東方科學園區,25.0611,121.64835,THB269786,0,
THB269800,南京三民路口,25.0515,121.56026,THB269800,0,
THB269802,南昌街口,25.06579,121.66222,THB269802,0,
THB269820,界寮,25.15994,121.69467,THB269820,0,
THB269833,酒泉重慶路口,25.071974,121.514289,THB269833,0,
THB269837,堵南里,25.077811,121.692222,THB269837,0,
THB269917,南京寧安街口,25.051635,121.554383,THB269917,0,
THB269932,開山宮,25.0682606,121.6427138,THB269932,0,
THB269961,捷運民權西路站,25.0629,121.5189,THB269961,0,
THB270005,萬里區公所,25.17825281,121.6901092,THB270005,0,
THB270006,萬里海水浴場,25.180317,121.68925,THB270006,0,
THB270007,萬里橋頭,25.176024,121.687745,THB270007,0,
THB270013,武聖街口,25.156774,121.695973,THB270013,0,
THB270020,保安里,25.07314,121.67513,THB270020,0,
THB270065,國立科教館,25.095327,121.517394,THB270065,0,
THB270102,萬里區公所,25.178489,121.690342,THB270102,0,
THB270139,南京建國路口,25.05197,121.53629,THB270139,0,
THB270140,捷運南京復興站,25.051841,121.543684,THB270140,0,
THB270141,南京龍江路口,25.051945,121.540212,THB270141,0,
THB270158,活力社區,25.06671,121.67155,THB270158,0,
THB270159,美崙,25.184671,121.686499,THB270159,0,
THB270229,臺北市立美術館,25.07234,121.52408,THB270229,0,
THB270231,遠東世界中心,25.06086,121.64592,THB270231,0,
THB270250,長安里,25.075994,121.673186,THB270250,0,
THB270256,保新街,25.07229,121.68948,THB270256,0,
THB270257,保新街,25.072811,121.689515,THB270257,0,
THB270293,連興街口,25.06209,121.65298,THB270293,0,
THB270294,連興街口,25.06231,121.654176,THB270294,0,
THB270340,臺北科技大學(忠孝),25.04203,121.5341,THB270340,0,
THB270343,樟樹一路口,25.062418,121.641599,THB270343,0,
THB270344,樟樹國際實中,25.0653,121.6398,THB270344,0,
